2022-01-20,23,266,99,381
2022-01-21,0,235,90,15
2022-01-21,6,208,57,994
2022-01-21,7,311,133,2277
2022-01-21,8,383,226,2448
2022-01-21,9,337,226,2514
2022-01-21,10,363,195,2462
2022-01-21,11,267,156,2614
2022-01-21,12,278,154,2480
2022-01-21,13,310,193,2482
2022-01-21,14,371,228,2367
2022-01-21,15,348,232,1751
2022-01-21,16,250,185,2161
2022-01-21,17,252,195,2590
2022-01-21,18,297,234,2903
2022-01-21,19,284,216,2324
2022-01-21,20,334,204,1423
2022-01-21,21,337,175,1016
2022-01-21,22,306,149,858
2022-01-21,23,241,105,725
2022-01-22,0,478,90,63
2022-01-22,6,394,49,610
2022-01-22,7,560,94,868
2022-01-22,8,638,132,1247
2022-01-22,9,612,135,1812
2022-01-22,10,640,162,2123
2022-01-22,11,650,169,2456
2022-01-22,12,592,157,2216
2022-01-22,13,574,164,2035
2022-01-22,14,700,201,1922
2022-01-22,15,690,173,1903
2022-01-22,16,764,194,1831
2022-01-22,17,640,164,1587
2022-01-22,18,596,165,1910
2022-01-22,19,638,181,1785
2022-01-22,20,748,203,1420
2022-01-22,21,620,179,1081
2022-01-22,22,406,109,948
2022-01-22,23,300,98,731
2022-01-23,0,148,100,85
2022-01-23,6,192,67,441
2022-01-23,7,193,77,491
2022-01-23,8,255,99,643
2022-01-23,9,230,87,1018
2022-01-23,10,232,107,1484
2022-01-23,11,248,127,1793
2022-01-23,12,313,145,1821
2022-01-23,13,284,151,1582
2022-01-23,14,271,153,1338
2022-01-23,15,290,141,1325
2022-01-23,16,182,126,1019
2022-01-23,17,257,135,1210
2022-01-23,18,265,141,1534
2022-01-23,19,272,167,1554
2022-01-23,20,238,127,1201
2022-01-23,21,241,123,848
2022-01-23,22,253,120,624
2022-01-23,23,238,97,372
2022-01-24,0,236,71,60
2022-01-24,6,231,74,1057
2022-01-24,7,291,148,2117
2022-01-24,8,307,192,2663
2022-01-24,9,312,201,2389
2022-01-24,10,296,208,2302
2022-01-24,11,278,204,2326
2022-01-24,12,257,184,2323
2022-01-24,13,264,173,2424
2022-01-24,14,293,179,2390
2022-01-24,15,361,222,2480
2022-01-24,16,417,264,2374
2022-01-24,17,420,297,2703
2022-01-24,18,419,286,3092
2022-01-24,19,387,222,1998
2022-01-24,20,305,174,1260
2022-01-24,21,243,133,735
2022-01-24,22,241,96,558
2022-01-24,23,299,105,301
2022-01-25,0,287,98,24
2022-01-25,6,292,75,1034
2022-01-25,7,344,154,2493
2022-01-25,8,436,253,2884
2022-01-25,9,329,230,2641
2022-01-25,10,356,229,2547
2022-01-25,11,314,232,2562
2022-01-25,12,325,219,2485
2022-01-25,13,290,208,2546
2022-01-25,14,323,204,2452
2022-01-25,15,351,234,2235
2022-01-25,16,384,239,2041
2022-01-25,17,374,226,2743
2022-01-25,18,399,253,3107
2022-01-25,19,359,238,2199
2022-01-25,20,345,207,1372
2022-01-25,21,243,157,812
2022-01-25,22,184,94,697
2022-01-25,23,213,97,384
2022-01-26,0,155,62,54
2022-01-26,6,195,46,964
2022-01-26,7,222,101,2315
2022-01-26,8,281,188,2810
2022-01-26,9,370,232,2542
2022-01-26,10,339,230,2411
2022-01-26,11,267,165,2454
2022-01-26,12,262,172,2495
2022-01-26,13,343,227,2651
2022-01-26,14,356,224,2580
2022-01-26,15,321,207,2641
2022-01-26,16,309,195,2938
2022-01-26,17,311,199,2984
2022-01-26,18,389,247,3392
2022-01-26,19,372,209,2325
2022-01-26,20,286,162,1444
2022-01-26,21,262,152,949
2022-01-26,22,187,109,789
2022-01-26,23,225,106,470
2022-01-27,0,255,93,67
2022-01-27,6,277,54,1066
2022-01-27,7,241,101,2390
2022-01-27,8,401,251,2980
2022-01-27,9,302,231,2868
2022-01-27,10,275,210,1855
2022-01-27,11,271,208,2571
2022-01-27,12,227,172,2545
2022-01-27,13,316,238,2636
2022-01-27,14,302,231,1908
2022-01-27,15,268,199,2035
2022-01-27,16,327,252,1837
2022-01-27,17,350,232,3415
2022-01-27,18,358,246,3880
2022-01-27,19,324,233,2210
2022-01-27,20,257,173,872
2022-01-27,21,222,122,536
2022-01-27,22,186,94,401
2022-01-27,23,184,96,281
2022-01-28,0,187,83,0
2022-01-28,6,239,57,435
2022-01-28,7,299,124,1120
2022-01-28,8,324,201,1646
2022-01-28,9,335,221,1642
2022-01-28,10,178,142,1953
2022-01-28,11,220,169,2687
2022-01-28,12,209,159,2659
2022-01-28,13,326,240,2290
2022-01-28,14,320,224,2905
2022-01-28,15,356,230,2443
2022-01-28,16,302,197,1956
2022-01-28,17,267,200,2453
2022-01-28,18,294,218,2106
2022-01-28,19,300,206,1674
2022-01-28,20,288,181,1020
2022-01-28,21,277,153,693
2022-01-28,22,240,127,666
2022-01-28,23,233,121,421
2022-01-29,0,177,87,50
2022-01-29,6,145,44,344
2022-01-29,7,178,91,556
2022-01-29,8,224,120,1074
2022-01-29,9,186,104,1145
2022-01-29,10,234,156,1399
2022-01-29,11,222,141,1851
2022-01-29,12,204,143,2149
2022-01-29,13,248,168,2490
2022-01-29,14,269,166,2372
2022-01-29,15,286,180,1802
2022-01-29,16,241,156,2067
2022-01-29,17,198,124,2180
2022-01-29,18,259,160,2055
2022-01-29,19,334,193,1791
2022-01-29,20,343,202,1290
2022-01-29,21,291,154,1033
2022-01-29,22,326,144,979
2022-01-29,23,266,136,681
2022-01-30,0,190,89,70
2022-01-30,6,165,47,279
2022-01-30,7,192,57,580
2022-01-30,8,198,79,719
2022-01-30,9,214,78,916
